fact_id,fact_role,domain,comparison,estimand,statistic,unit,n_bwh,n_bwk,estimate_bwh,estimate_bwk,effect_bwh_minus_bwk,effect_scale,ci95_low,ci95_high,fdr_q,support_class,sensitivity_summary,display_precision_policy
F04-PRIMARY-01,primary_inferential,social,BWh_background_minus_BWk_background,ghsl_density_patch_median_log_ratio,median_log_ratio,persons km-2,1822.0,742.0,44.84294837949498,14.151735953602248,1.153329050578497,log(BWh/BWk),0.3123499152596893,1.8328084570249028,0.0119940029985007,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: area-weighted mean difference direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source
F04-PRIMARY-02,primary_inferential,social,BWh_background_minus_BWk_background,ghsl_built_share_patch_median_difference,median_difference,share,1822.0,742.0,0.0051342930341783,0.0014824792006268,0.0036518138335515,BWh - BWk,0.0015633978701451,0.006032804536464,0.0019990004997501,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: area-weighted mean difference direction_agrees=True,display at 4 decimal places to avoid rounding a nonzero small fraction to zero; raw precision retained
F04-PRIMARY-03,primary_inferential,water,BWh_background_minus_BWk_background,ai_area_weighted_mean_difference,area_weighted_mean_difference,index,1805.0,738.0,0.1168624115073607,0.1416443480296899,-0.0247819365223291,BWh - BWk,-0.0783609391558236,0.0266560163947126,0.5562218890554723,not_supported,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: patch-median difference direction_agrees=True; remove_top1pct_largest_area direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source
F04-PRIMARY-04,primary_inferential,water,BWh_background_minus_BWk_background,terraclimate_def_area_weighted_mean_difference,area_weighted_mean_difference,mm yr-1,1822.0,742.0,1710.1841621985848,983.6338724578396,726.5502897407451,BWh - BWk,586.7511198733079,912.242959569965,0.0029985007496251,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: patch-median difference direction_agrees=True; remove_top1pct_largest_area direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source
F04-PRIMARY-05,primary_inferential,water,BWh_background_minus_BWk_background,jrc_ever_water_fraction_area_weighted_mean_difference,area_weighted_mean_difference,share,1822.0,742.0,0.0904357133724207,0.1027337658842551,-0.0122980525118344,BWh - BWk,-0.0687858984803213,0.0330964869282597,0.6406796601699151,not_supported,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: patch-median difference direction_agrees=True; remove_top1pct_largest_area direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source
F04-PRIMARY-06,primary_inferential,utci,BWh_background_minus_BWk_background,utci_heat_ge32_patch_median_difference,median_difference,days yr-1,1816.0,742.0,205.36666666666667,65.33333333333333,140.03333333333336,BWh - BWk,109.06583333333334,163.14499999999992,0.000999500249875,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: population-weighted mean difference direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source
F04-PRIMARY-07,primary_inferential,utci,BWh_background_minus_BWk_background,utci_cold_le_minus13_patch_median_difference,median_difference,days yr-1,1816.0,742.0,0.9666666666666668,124.66666666666669,-123.70000000000002,BWh - BWk,-154.37083333333334,-70.86583333333334,0.000999500249875,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: population-weighted mean difference direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source
F04-PRIMARY-08,primary_inferential,utci,BWh_background_minus_BWk_background,utci_heat_ge32_population_weighted_mean_difference,population_weighted_mean_difference,days yr-1,1816.0,742.0,221.38494712210007,83.34465737846327,138.0402897436368,BWh - BWk,100.33193142149858,176.4713210576599,0.000999500249875,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source
F04-PRIMARY-09,primary_inferential,utci,BWh_background_minus_BWk_background,utci_cold_le_minus13_population_weighted_mean_difference,population_weighted_mean_difference,days yr-1,1816.0,742.0,1.4340229959857005,101.10612570087646,-99.67210270489076,BWh - BWk,-120.95224580748834,-83.30116010944434,0.000999500249875,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source
F04-PRIMARY-10,primary_inferential,nex,BWh_background_minus_BWk_background,nex_ssp245_2041_2070_tasmax_patch_median_difference,median_difference,degC,1822.0,742.0,1.8925590190941488,2.07177734375,-0.1792183246558512,BWh - BWk,-0.2703915584664289,-0.1091742678281256,0.0017134289997858,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: polygon_only_2871 direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source
