OasisID,class_label_en,continent5,area_km2,block_250km,block_500km,block_1000km,ghsl_qc,ai_qc,terraclimate_qc,jrc_qc,utci_qc,nex_qc,nex_method,futurepop_coverage,pop_2020_ghsl,pop_density_per_km2_polygon_area,built_s_share_of_polygon_area,ai_scaled,terraclimate_def_1991_2020_mean_annual_mm,ever_water_fraction,utci_mean_annual_days_max_ge_32c,utci_mean_annual_days_min_le_minus13c,nex_ssp245_2041_2070_tasmax_delta_1995_2014_median,nex_ssp245_2041_2070_tasmin_delta_1995_2014_median,nex_ssp245_2041_2070_pr_delta_1995_2014_median,nex_ssp245_2071_2099_tasmax_delta_1995_2014_median,nex_ssp245_2071_2099_tasmin_delta_1995_2014_median,nex_ssp245_2071_2099_pr_delta_1995_2014_median,nex_ssp585_2041_2070_tasmax_delta_1995_2014_median,nex_ssp585_2041_2070_tasmin_delta_1995_2014_median,nex_ssp585_2041_2070_pr_delta_1995_2014_median,nex_ssp585_2071_2099_tasmax_delta_1995_2014_median,nex_ssp585_2071_2099_tasmin_delta_1995_2014_median,nex_ssp585_2071_2099_pr_delta_1995_2014_median,pop_ssp2_2050,pop_ssp2_2080,pop_ssp5_2050,pop_ssp5_2080,et0_qc,et0_v31_yr_raw_valid_pixel_count,et0_v31_yr_raw_area_weighted_mean_raw,et0_v31_yr_sd_raw_valid_pixel_count,et0_v31_yr_sd_raw_area_weighted_mean_raw
ASCN12073,BWk oases,Asia,17.708325,EE8857_250km_26_18,EE8857_500km_13_9,EE8857_1000km_6_4,pass_center_pixel,pass_center_pixel_raw_scaled,pass_30yr,pass,pass_complete_30yr,pass_complete_polygon,polygon_reducer,0.2576990005552829,490.212896,27.682623624764062,0.0005612049699788,0.0580187070256,706.6896090622247,0.0534539122595536,0.0,247.86666666666667,1.960845947265625,1.989959716796875,0.0877071768045425,2.956817626953125,2.795196533203125,0.1130881160497665,2.8567352294921875,2.764739990234375,0.1262895464897155,5.535400390625,4.9765625,0.2321307957172393,281.11362226687737,200.09371030280275,283.7068488526989,206.4617546890171,pass_center_pixel_raw_unit_caution,27,1004.556247569,27,50.111135293
ASCN12128,BWk oases,Asia,5.634114,EE8857_250km_26_18,EE8857_500km_13_9,EE8857_1000km_6_4,pass_center_pixel,pass_center_pixel_raw_scaled,pass_30yr,pass,pass_complete_30yr,pass_complete_with_fallback,representative_point_fallback,0.1125601430037688,64.666679,11.477701551654794,1.0649411779740344e-05,0.0253454253591,950.3027002520612,0.2443744058015287,0.0333333333333333,176.76666666666668,1.9594727,2.0226746,0.038767908,3.01062,2.8319397,0.046165794,2.9463959,2.914688,0.058058664,5.514206,5.008194,0.10564252,0.4792994145582909,0.3626963702173107,0.4826232523821119,0.3724822890503958,pass_center_pixel_raw_unit_caution,11,1130.818054253,11,56.727278239
ASCN12187,BWk oases,Asia,2.184434,EE8857_250km_28_17,EE8857_500km_14_8,EE8857_1000km_7_4,pass_center_pixel,pass_center_pixel_raw_scaled,pass_30yr,pass,pass_complete_30yr,pass_complete_polygon,polygon_reducer,0.358001284871943,0.0,0.0,0.0,0.0283666301045,849.9418138726666,0.0768552668759052,0.0,204.8,1.925018310546875,2.04364013671875,0.0598913617432117,2.937652587890625,2.887176513671875,0.082853190600872,2.811553955078125,2.90911865234375,0.0817076861858367,5.296844482421875,5.240234375,0.1752434074878692,0.427555241622623,0.3644568478262205,0.4288915941480606,0.3705218913938415,pass_center_pixel_raw_unit_caution,3,1114.66637178,3,45.333274356
ASCN12060,BWk oases,Asia,27.722928,EE8857_250km_28_18,EE8857_500km_14_9,EE8857_1000km_7_4,pass_center_pixel,pass_center_pixel_raw_scaled,pass_30yr,pass,pass_complete_30yr,pass_complete_polygon,polygon_reducer,0.3180847951991477,4167.061716,150.31102472292972,0.0011141319560473,0.0284535656529,953.7296982821888,0.0035438132147158,0.0,220.1,2.01104736328125,2.018768310546875,0.0361386463046073,2.901580810546875,2.929168701171875,0.0464873351156711,2.830596923828125,2.9184112548828125,0.0488805770874023,5.0962982177734375,5.2240142822265625,0.0925720930099487,1361.1905962411893,1014.3539083216282,1371.284310078266,1043.0414361527253,pass_center_pixel_raw_unit_caution,41,1171.730408261,41,51.097481428
ASCN12211,BWk oases,Asia,1.632277,EE8857_250km_27_18,EE8857_500km_13_9,EE8857_1000km_6_4,pass_center_pixel,pass_center_pixel_raw_scaled,pass_30yr,pass,pass_complete_30yr,pass_complete_with_fallback,representative_point_fallback,0.0,0.0,0.0,0.0,0.02795990927,914.4762158383425,0.0,0.0,157.8,2.0170593,2.005951,0.04240645,2.9061584,2.945282,0.04747011,2.843048,2.9246826,0.05042569,5.177536,5.2443695,0.115370065,0.0,0.0,0.0,0.0,pass_center_pixel_raw_unit_caution,5,1148.199582889,5,48.9999355
ASCN12037,BWk oases,Asia,62.212295,EE8857_250km_28_18,EE8857_500km_14_9,EE8857_1000km_7_4,pass_center_pixel,pass_center_pixel_raw_scaled,pass_30yr,pass,pass_complete_30yr,pass_complete_polygon,polygon_reducer,0.3101138274795744,18535.057213,297.9323815814864,0.0008549113965334,0.0287066825078,978.8321578668968,0.0534421960061145,3.433333333333333,163.26666666666668,2.0536393385667067,2.006608229417067,0.0360293891997291,2.914503831129808,2.91360825758714,0.0402603570658426,2.8679134662334733,2.909713158240685,0.0449701993224712,5.147214449368991,5.193183898925781,0.0903341836081101,2274.002833183928,1535.5885972401657,2298.839112816901,1588.6275978892768,pass_center_pixel_raw_unit_caution,89,1174.737498129,89,53.291657749
ASCN12061,BWk oases,Asia,27.57585,EE8857_250km_27_18,EE8857_500km_13_9,EE8857_1000km_6_4,pass_center_pixel,pass_center_pixel_raw_scaled,pass_30yr,pass,pass_complete_30yr,pass_complete_polygon,polygon_reducer,0.0961200810258747,124.865918,4.528089542117469,1.439665504417815e-05,0.028091404103,950.1778111606026,0.1704160454537961,0.0666666666666666,177.76666666666668,2.071575927734375,2.001751708984375,0.0318637784570455,2.923236083984375,2.904083251953125,0.0395123854279518,2.884954833984375,2.906170654296876,0.0424163855612278,5.150723266601562,5.171173095703126,0.0809813469648361,47.04548404162693,31.56549290757297,47.531908950002766,32.78867950996182,pass_center_pixel_raw_unit_caution,37,1169.895511595,37,51.373904915
ASCN12115,BWk oases,Asia,6.988738,EE8857_250km_28_18,EE8857_500km_14_9,EE8857_1000km_7_4,pass_center_pixel,pass_center_pixel_raw_scaled,pass_30yr,pass,pass_complete_30yr,pass_complete_polygon,polygon_reducer,0.4093051514962447,72.706286,10.403349789332497,0.0002511182991836,0.0295426865987999,1001.1984223194818,0.0002067002104918,20.83333333333333,164.43333333333334,1.999053955078125,2.04437255859375,0.0421130917966365,2.930877685546875,2.91094970703125,0.0524701364338398,2.8236541748046875,2.9073028564453125,0.0572768561542034,5.073776245117188,5.2508697509765625,0.1146529912948608,107.93680169532524,81.7497249633502,109.0523442856556,83.80246958507765,pass_center_pixel_raw_unit_caution,14,1213.857001716,14,54.071280896
ASCN12070,BWk oases,Asia,19.872791,EE8857_250km_28_18,EE8857_500km_14_9,EE8857_1000km_7_4,pass_center_pixel,pass_center_pixel_raw_scaled,pass_30yr,pass,pass_complete_30yr,pass_complete_polygon,polygon_reducer,0.39923414431265,9085.914126,457.2037277501686,0.0022152902428249,0.0287322716989,935.4471958023906,0.0006945691777874,0.0,190.4,1.98699951171875,2.0992431640625,0.0602859742939472,2.92718505859375,2.897613525390625,0.0675119161605835,2.830718994140625,2.897735595703125,0.0741737410426139,5.20562744140625,5.2632598876953125,0.1766835749149322,1456.0200321936693,1095.868796655834,1466.5011765554873,1125.5476379982342,pass_center_pixel_raw_unit_caution,31,1175.315773377,31,50.838121432
ASCN12036,BWk oases,Asia,62.507363,EE8857_250km_28_18,EE8857_500km_14_9,EE8857_1000km_7_4,pass_center_pixel,pass_center_pixel_raw_scaled,pass_30yr,pass,pass_complete_30yr,pass_complete_polygon,polygon_reducer,0.3711011314315803,4752.345765,76.02857546558155,0.0018366156319856,0.0288853034555,971.658934539318,0.0009332874979578,0.0,214.86666666666667,2.002775646391369,2.036456880115327,0.0392421741215955,2.921809605189732,2.9150870186941966,0.0489729885898885,2.8253166562034973,2.9098910377139138,0.0542783332722527,5.0747491745721724,5.242557343982515,0.1029419867055756,5047.21332431758,3879.2699630754487,5080.057661028011,3977.3285012367833,pass_center_pixel_raw_unit_caution,89,1186.878347903,89,52.066784015
