OasisID,continent,exact_background_class,background_class,extraction_method,nex_ssp245_2041_2070_tasmax_delta_1995_2014_median,nex_ssp245_2041_2070_tasmin_delta_1995_2014_median,nex_ssp245_2041_2070_pr_delta_1995_2014_median,nex_ssp245_2071_2099_tasmax_delta_1995_2014_median,nex_ssp245_2071_2099_tasmin_delta_1995_2014_median,nex_ssp245_2071_2099_pr_delta_1995_2014_median,nex_ssp585_2041_2070_tasmax_delta_1995_2014_median,nex_ssp585_2041_2070_tasmin_delta_1995_2014_median,nex_ssp585_2041_2070_pr_delta_1995_2014_median,nex_ssp585_2071_2099_tasmax_delta_1995_2014_median,nex_ssp585_2071_2099_tasmin_delta_1995_2014_median,nex_ssp585_2071_2099_pr_delta_1995_2014_median
ASCN12073,Asia,BWk_background,BWk oases,polygon_reducer,1.960845947265625,1.989959716796875,0.0877071768045425,2.956817626953125,2.795196533203125,0.1130881160497665,2.856735229492188,2.764739990234375,0.1262895464897155,5.535400390625,4.9765625,0.2321307957172393
ASCN12128,Asia,BWk_background,BWk oases,representative_point_fallback,1.9594727,2.0226746,0.038767908,3.01062,2.8319397,0.046165794,2.9463959,2.914688,0.058058664,5.514206,5.008194,0.10564252
ASCN12187,Asia,BWk_background,BWk oases,polygon_reducer,1.925018310546875,2.04364013671875,0.0598913617432117,2.937652587890625,2.887176513671875,0.082853190600872,2.811553955078125,2.90911865234375,0.0817076861858367,5.296844482421875,5.240234375,0.1752434074878692
ASCN12060,Asia,BWk_background,BWk oases,polygon_reducer,2.01104736328125,2.018768310546875,0.0361386463046073,2.901580810546875,2.929168701171875,0.0464873351156711,2.830596923828125,2.918411254882812,0.0488805770874023,5.096298217773438,5.224014282226562,0.0925720930099487
ASCN12211,Asia,BWk_background,BWk oases,representative_point_fallback,2.0170593,2.005951,0.04240645,2.9061584,2.945282,0.04747011,2.843048,2.9246826,0.05042569,5.177536,5.2443695,0.115370065
ASCN12037,Asia,BWk_background,BWk oases,polygon_reducer,2.053639338566707,2.006608229417067,0.0360293891997291,2.914503831129808,2.91360825758714,0.0402603570658426,2.867913466233473,2.909713158240685,0.0449701993224712,5.147214449368991,5.193183898925781,0.0903341836081101
ASCN12061,Asia,BWk_background,BWk oases,polygon_reducer,2.071575927734375,2.001751708984375,0.0318637784570455,2.923236083984375,2.904083251953125,0.0395123854279518,2.884954833984375,2.906170654296876,0.0424163855612278,5.150723266601562,5.171173095703126,0.0809813469648361
ASCN12115,Asia,BWk_background,BWk oases,polygon_reducer,1.999053955078125,2.04437255859375,0.0421130917966365,2.930877685546875,2.91094970703125,0.0524701364338398,2.823654174804688,2.907302856445312,0.0572768561542034,5.073776245117188,5.250869750976562,0.1146529912948608
ASCN12070,Asia,BWk_background,BWk oases,polygon_reducer,1.98699951171875,2.0992431640625,0.0602859742939472,2.92718505859375,2.897613525390625,0.0675119161605835,2.830718994140625,2.897735595703125,0.0741737410426139,5.20562744140625,5.263259887695312,0.1766835749149322
ASCN12036,Asia,BWk_background,BWk oases,polygon_reducer,2.002775646391369,2.036456880115327,0.0392421741215955,2.921809605189732,2.915087018694197,0.0489729885898885,2.825316656203497,2.909891037713914,0.0542783332722527,5.074749174572172,5.242557343982515,0.1029419867055756
ASCN12138,Asia,BWk_background,BWk oases,polygon_reducer,2.0528564453125,2.045074462890625,0.0434547327458858,2.9066162109375,2.836181640625,0.0449055023491382,2.826141357421875,2.829071044921875,0.0651694387197494,5.152130126953125,5.196441650390625,0.1231320947408676
ASCN12205,Asia,BWk_background,BWk oases,representative_point_fallback,2.0528564,2.0450745,0.039367847,2.9066162,2.8361816,0.044905502,2.8261414,2.829071,0.05769354,5.15213,5.1964417,0.123132095
ASCN12134,Asia,BWk_background,BWk oases,polygon_reducer,2.11181640625,1.997222900390625,0.0149859394878149,2.791412353515625,2.781402587890625,0.0169296246021986,2.879013061523437,2.783126831054688,0.0479779168963432,5.109130859375,5.017501831054688,0.0795615762472152
ASCN12234,Asia,BWk_background,BWk oases,representative_point_fallback,1.9689636,1.9432983,0.019780017,2.963379,2.8797913,0.024393814,2.9963531,2.9308167,0.021521688,5.3713226,5.110779,0.044387504
ASCN12065,Asia,BWk_background,BWk oases,polygon_reducer,1.973175048828125,1.91888427734375,0.0142887840047478,2.957672119140625,2.852447509765625,0.0225079841911792,2.986801147460937,2.958389282226562,0.020070381462574,5.383224487304688,5.103408813476562,0.0434686802327632
ASCN12133,Asia,BWk_background,BWk oases,polygon_reducer,1.90435791015625,1.9493408203125,0.0196668617427349,2.941131591796875,2.965728759765625,0.0195745304226875,2.992523193359375,2.946029663085937,0.014996132813394,5.33612060546875,5.122512817382812,0.0297294426709413
ASCN12006,Asia,BWk_background,BWk oases,polygon_reducer,2.081758285408468,1.954196665304829,0.017804729961964,2.892244711502384,2.799884319814318,0.0165086236455365,2.875519287369931,2.748578392199798,0.0342398067298191,5.133843453487694,5.032214690934125,0.0509341634619134
ASCN12035,Asia,BWk_background,BWk oases,polygon_reducer,1.994824639682112,2.033210491311961,0.0402123330739037,2.915008544921875,2.920204951845367,0.0516510817768244,2.823810972016433,2.914217718716325,0.0565283694143953,5.107813341864224,5.235810904667296,0.1081226141802195
ASCN12166,Asia,BWk_background,BWk oases,polygon_reducer,2.03729248046875,1.983978271484375,0.0439170002937316,2.97723388671875,2.71148681640625,0.0592049248516559,2.931411743164062,2.78570556640625,0.0598889179527759,5.551712036132812,4.919204711914063,0.1088986918330192
ASCN12254,Asia,BWk_background,BWk oases,representative_point_fallback,2.0143433,1.9516907,0.08039358,2.9499207,2.6531677,0.10700167,2.920166,2.7476654,0.08887737,5.507614,4.8578796,0.18786827
ASCN12108,Asia,BWk_background,BWk oases,polygon_reducer,2.01434326171875,1.951690673828125,0.0771102607250213,2.949920654296875,2.653167724609375,0.107001669704914,2.920166015625,2.747665405273437,0.088877372443676,5.507614135742188,4.857879638671875,0.1878682672977447
ASCN12140,Asia,BWk_background,BWk oases,representative_point_fallback,2.0143433,1.9516907,0.08039358,2.9499207,2.6531677,0.10700167,2.920166,2.7476654,0.08887737,5.507614,4.8578796,0.18786827
ASCN12184,Asia,BWk_background,BWk oases,polygon_reducer,2.0616455078125,1.944244384765625,0.0577681809663772,2.96246337890625,2.66400146484375,0.0816359370946884,2.91845703125,2.73394775390625,0.0699705332517623,5.533355712890625,4.847015380859375,0.1470019370317459
ASCN12100,Asia,BWk_background,BWk oases,polygon_reducer,2.062103271484375,1.94903564453125,0.0733103156089782,2.9571533203125,2.6568603515625,0.1049022823572158,2.908004760742188,2.736251831054688,0.0871822759509086,5.515823364257812,4.85992431640625,0.1729019433259964
ASCN12093,Asia,BWk_background,BWk oases,polygon_reducer,2.060020446777344,1.945892333984375,0.0718683563172817,2.958854675292969,2.659324645996094,0.1028819121420383,2.908885955810546,2.730480194091797,0.0855275075882673,5.505264282226563,4.858585357666016,0.1689337715506554
ASCN12056,Asia,BWk_background,BWk oases,polygon_reducer,2.042996920072115,1.936293381911058,0.0740407693844575,2.959634634164664,2.662956824669472,0.1030950867212735,2.911121074969952,2.712566669170673,0.0880452314248451,5.48788334773137,4.857772827148438,0.1720145860543618
ASCN12199,Asia,BWk_background,BWk oases,representative_point_fallback,2.053772,1.9364624,0.07712362,2.9639587,2.6667175,0.0968208,2.9115295,2.7131653,0.08192568,5.473587,4.8545685,0.15702926
ASCN12089,Asia,BWk_background,BWk oases,polygon_reducer,1.9744873046875,1.996795654296875,0.130453422665596,3.038726806640625,2.738616943359375,0.1639562398195266,2.933807373046875,2.836532592773437,0.1564085185527801,5.484039306640625,4.903640747070312,0.2927487194538116
ASCN12084,Asia,BWk_background,BWk oases,polygon_reducer,2.0054931640625,1.97613525390625,0.1151325404644012,3.0234375,2.734893798828125,0.1272833347320556,2.94537353515625,2.790878295898437,0.1228443384170532,5.429824829101562,4.85662841796875,0.2497987300157547
ASCN12022,Asia,BWk_background,BWk oases,polygon_reducer,1.986651975717117,1.965600768131996,0.1152317814195334,2.972234014254897,2.695639083634561,0.1281603014291222,2.90548387214319,2.756974860803405,0.1241795216033708,5.503062917225397,4.838600044819846,0.2485763288255947
