exact_background_class,feature_count,area_km2,area_share_pct,mean_area_km2,median_area_km2,p25_area_km2,p75_area_km2,p90_area_km2,p95_area_km2,p99_area_km2,max_area_km2,count_lt_10_km2,count_lt_100_km2,area_lt_100_km2,area_lt_100_share_of_class_pct,background_class
BWh_background,1822,1265408.631813,55.6791213033932,694.516263344127,14.8874075,4.37849825,64.2759695,358.809228300001,944.773465499998,11810.6523250999,250279.605662,778,1464,27538.807473,2.17627782683481,BWh oases
BWk_background,742,543145.009263,23.8988703694541,732.001360192722,8.253594,2.6319755,41.60188075,353.2494766,1136.48558345,21221.9538539703,123091.719421,400,608,8235.292307,1.51622350690004,BWk oases
mixed_BWh_BWk,131,320847.985742,14.1176008041631,2449.22126520611,96.545801,22.941837,638.04377,4320.968348,11317.0004975,43156.3082998,62143.920179,21,67,2046.283465,0.637773511424022,BWh/BWk oases
non_BWh_BWk_background,742,143279.051668,6.30440752298949,193.098452382749,11.7021335,3.2970615,68.28807525,321.2467186,714.713093899997,4339.43354054,7359.359426,343,587,9908.03674,6.91520262358972,non-BW oases
