OasisID,continent,exact_background_class,background_class,polygon_area_km2
ASCN12175,Asia,BWk_background,BWk oases,2.630539
ASCN12135,Asia,BWk_background,BWk oases,4.804714
ASCN12252,Asia,BWk_background,BWk oases,1.084876
ASCN12189,Asia,BWk_background,BWk oases,2.149575
ASCN12139,Asia,BWk_background,BWk oases,4.440525
ASCN12132,Asia,BWk_background,BWk oases,4.911979
ASCN12222,Asia,BWk_background,BWk oases,1.368933
ASCN12227,Asia,BWk_background,BWk oases,1.324022
ASCN12125,Asia,BWk_background,BWk oases,5.965913
ASCN12219,Asia,non_BWh_BWk_background,non-BW oases,1.379956
ASCN12158,Asia,BWk_background,BWk oases,3.545244
ASCN12156,Asia,BWk_background,BWk oases,3.599903
ASCN12240,Asia,non_BWh_BWk_background,non-BW oases,1.235874
ASCN12063,Asia,BWk_background,BWk oases,22.152354
ASCN12008,Asia,BWk_background,BWk oases,1841.470663
ASCN12143,Asia,BWk_background,BWk oases,4.290005
ASCN12107,Asia,BWk_background,BWk oases,8.231158
ASCN12188,Asia,BWk_background,BWk oases,2.16215
ASCN12045,Asia,BWk_background,BWk oases,44.593162
ASCN12215,Asia,BWk_background,BWk oases,1.47979
ASCN12068,Asia,BWk_background,BWk oases,20.616107
ASCN12226,Asia,BWk_background,BWk oases,1.328314
ASCN12055,Asia,BWk_background,BWk oases,30.667077
ASCN12041,Asia,BWk_background,BWk oases,52.865966
ASCN12054,Asia,BWk_background,BWk oases,31.119964
ASCN12117,Asia,BWk_background,BWk oases,6.686278
ASCN12181,Asia,BWk_background,BWk oases,2.331118
ASCN12245,Asia,BWk_background,BWk oases,1.137684
ASCN12097,Asia,BWk_background,BWk oases,9.406917
ASCN12124,Asia,BWk_background,BWk oases,5.976797
ASCN12043,Asia,BWk_background,BWk oases,49.448109
ASCN12150,Asia,BWk_background,BWk oases,3.852155
ASCN12164,Asia,BWk_background,BWk oases,3.259841
ASCN12147,Asia,BWk_background,BWk oases,4.017998
ASCN12086,Asia,BWk_background,BWk oases,11.153464
ASCN12136,Asia,BWk_background,BWk oases,4.660904
ASCN12078,Asia,BWk_background,BWk oases,14.690081
ASCN12242,Asia,BWk_background,BWk oases,1.152951
ASCN12098,Asia,BWk_background,BWk oases,9.077965
ASCN12231,Asia,BWk_background,BWk oases,1.298825
ASCN12102,Asia,BWk_background,BWk oases,8.460102
ASCN12105,Asia,BWk_background,BWk oases,8.347041
ASCN12015,Asia,BWk_background,BWk oases,522.468711
ASCN12145,Asia,BWk_background,BWk oases,4.192717
ASCN12247,Asia,BWk_background,BWk oases,1.112824
ASCN12020,Asia,BWk_background,BWk oases,200.037659
ASCN12155,Asia,BWk_background,BWk oases,3.622834
ASCN12010,Asia,BWk_background,BWk oases,1210.164658
ASCN12201,Asia,BWk_background,BWk oases,1.838201
ASCN12178,Asia,BWk_background,BWk oases,2.587155
ASCN12122,Asia,BWk_background,BWk oases,6.129899
ASCN12064,Asia,BWk_background,BWk oases,21.975357
ASCN12169,Asia,BWk_background,BWk oases,2.807064
ASCN12235,Asia,BWk_background,BWk oases,1.268718
ASCN12123,Asia,BWk_background,BWk oases,6.018791
ASCN12103,Asia,BWk_background,BWk oases,8.379599
ASCN12082,Asia,BWk_background,BWk oases,13.308755
ASCN12244,Asia,BWk_background,BWk oases,1.140878
ASCN12153,Asia,BWk_background,BWk oases,3.726376
ASCN12197,Asia,BWk_background,BWk oases,1.924339
ASCN12046,Asia,BWk_background,BWk oases,43.761197
