OasisID,continent,exact_background_class,background_class,polygon_area_km2,representative_longitude_deg_e,representative_latitude_deg_n
AFDZ42073,Africa,BWh_background,BWh oases,6.42876,1.56086857386,29.5009733325
AFDZ42051,Africa,BWh_background,BWh oases,14.116577,-0.0308451119584,29.5144188328
AFDZ42126,Africa,BWh_background,BWh oases,1.679959,0.0424343754232,29.5437513487
AFDZ42046,Africa,BWh_background,BWh oases,15.0918,0.356600419423,29.5416425269
AFDZ42077,Africa,BWh_background,BWh oases,6.226097,-1.60533805635,29.5751341476
AFDZ42134,Africa,BWh_background,BWh oases,1.572481,0.25053429046,29.5986836488
AFDZ42121,Africa,BWh_background,BWh oases,1.85698,0.193835323165,29.6213896165
AFDZ42110,Africa,BWh_background,BWh oases,2.589821,-1.67890336757,29.6492541816
AFDZ42095,Africa,BWh_background,BWh oases,3.89434,0.607897753536,29.6482307638
AFDZ42055,Africa,BWh_background,BWh oases,12.320602,0.362912212628,29.6619940421
AFDZ42026,Africa,BWh_background,BWh oases,37.033455,0.710690002621,29.6989045744
AFDZ42056,Africa,BWh_background,BWh oases,11.378223,0.666555310261,29.7535835012
AFDZ42109,Africa,BWh_background,BWh oases,2.725796,0.743759765295,29.7896537107
AFDZ42009,Africa,BWh_background,BWh oases,156.140213,1.83928499031,29.6709499153
AFDZ42035,Africa,BWh_background,BWh oases,23.54316,-1.80986575342,29.8440140162
AFDZ42140,Africa,BWh_background,BWh oases,1.161593,-1.96763820715,29.9340855645
AFDZ42129,Africa,BWh_background,BWh oases,1.638099,-1.97094836712,29.9695735256
AFDZ43126,Africa,BWh_background,BWh oases,13.885582,9.41592695905,29.9764046328
AFDZ42081,Africa,BWh_background,BWh oases,5.563158,-2.04407503615,29.9997629814
AFDZ42058,Africa,BWh_background,BWh oases,10.691013,-2.16349491052,30.1197803703
AFDZ42023,Africa,BWh_background,BWh oases,42.287314,-2.29377532282,30.4328303905
AFDZ43009,Africa,BWh_background,BWh oases,616.119299,6.49002801572,30.5213632132
AFDZ42049,Africa,BWh_background,BWh oases,14.289301,-2.02317035192,30.8928361718
AFDZ42060,Africa,BWh_background,BWh oases,9.787896,-2.06369770683,31.0576561872
AFDZ43063,Africa,BWh_background,BWh oases,47.970887,3.50317468038,31.1217445401
AFDZ42011,Africa,BWh_background,BWh oases,120.795155,-2.74955442674,31.038149443
AFDZ43089,Africa,BWh_background,BWh oases,28.162343,3.56202528263,31.2212970076
AFLY43057,Africa,BWh_background,BWh oases,52.312564,9.47730063161,30.1585726583
AFLY43084,Africa,BWh_background,BWh oases,29.565211,10.3468336232,25.4286479513
AFLY43115,Africa,BWh_background,BWh oases,15.688153,10.5539098229,25.784561903
AFLY43264,Africa,BWh_background,BWh oases,2.759229,9.45012951044,30.0560488785
AFLY43142,Africa,BWh_background,BWh oases,10.68459,9.69852807269,30.1400563604
AFLY43112,Africa,BWh_background,BWh oases,17.247348,9.58568301925,30.1645644227
AFLY43035,Africa,BWh_background,BWh oases,122.973117,10.487004062,30.1487757554
AFMA42090,Africa,mixed_BWh_BWk,BWh/BWk oases,4.697695,-5.78132713939,31.3722330444
AFMA42072,Africa,mixed_BWh_BWk,BWh/BWk oases,6.559765,-5.69315733067,31.4099998464
AFMA42105,Africa,BWh_background,BWh oases,3.162178,-5.51092837424,31.4279614463
AFMA31026,Africa,non_BWh_BWk_background,non-BW oases,13.988725,-6.24086060922,31.4187163057
AFMA42019,Africa,BWh_background,BWh oases,62.096975,-5.05752524013,31.4796768769
AFMA42069,Africa,BWh_background,BWh oases,7.352722,-5.20585432268,31.5180309705
AFMA42139,Africa,BWh_background,BWh oases,1.186686,-4.96848872368,31.5337710182
AFMA42101,Africa,BWh_background,BWh oases,3.556532,-5.43498290977,31.5398105019
AFMA42107,Africa,BWh_background,BWh oases,2.97889,-5.03746527775,31.550493636
AFMA42037,Africa,BWh_background,BWh oases,21.737579,-4.87634673798,31.5473553947
AFMA42142,Africa,BWh_background,BWh oases,1.104596,-5.08108520225,31.5783463614
AFMA42062,Africa,BWh_background,BWh oases,9.542452,-4.69598454887,31.5575050818
AFMA42135,Africa,BWh_background,BWh oases,1.448234,-5.05429589384,31.5915108552
AFMA42070,Africa,BWh_background,BWh oases,7.175652,-5.20824894772,31.594814981
AFMA42091,Africa,BWh_background,BWh oases,4.329869,-5.30347488152,31.6186755382
AFMA42122,Africa,BWh_background,BWh oases,1.831349,-4.76422161134,31.6409009954
AFMA42032,Africa,BWh_background,BWh oases,25.330685,-4.91779268451,31.6229880563
AFMA42041,Africa,BWh_background,BWh oases,16.933707,-4.81082651218,31.6515334198
AFMA42031,Africa,BWh_background,BWh oases,25.899365,-4.95050310621,31.6879649746
AFMA42119,Africa,BWh_background,BWh oases,1.966511,-5.0346765361,31.7584374673
AFMA42133,Africa,BWh_background,BWh oases,1.57962,-4.59557347026,31.8027047741
AFMA42061,Africa,BWh_background,BWh oases,9.656285,-4.96558211642,31.8088068108
AFMA30014,Africa,BWk_background,BWk oases,31.7616,-4.75621226493,32.673583913
AFMA30011,Africa,non_BWh_BWk_background,non-BW oases,50.843055,-4.96028990622,32.6790580037
AFMA30036,Africa,BWh_background,BWh oases,3.28957,-4.09600139553,32.8620547802
AFMA30031,Africa,non_BWh_BWk_background,non-BW oases,7.617839,-4.79033083197,32.9989217355
AFMA30018,Africa,non_BWh_BWk_background,non-BW oases,21.797067,-4.86776660147,32.9970684939
AFMA30055,Africa,non_BWh_BWk_background,non-BW oases,1.27314,-4.73693918503,33.0458272448
AFMA30037,Africa,non_BWh_BWk_background,non-BW oases,3.167486,-4.5437296964,33.1789112294
AFMA30023,Africa,non_BWh_BWk_background,non-BW oases,15.044352,-4.61158583573,33.213548968
AFMA30022,Africa,non_BWh_BWk_background,non-BW oases,16.44992,-4.16964468184,33.303653777
AFMA31057,Africa,non_BWh_BWk_background,non-BW oases,2.109011,-4.48298417953,33.3460167257
AFMA31023,Africa,non_BWh_BWk_background,non-BW oases,18.068594,-4.4271631709,33.3591313648
AF2Q42033,Africa,BWh_background,BWh oases,24.01177,-1.23365748452,32.1077309932
AFMA42114,Africa,BWh_background,BWh oases,2.353639,-1.28939343032,32.1524705136
AFMA42123,Africa,BWh_background,BWh oases,1.765906,-1.35505019376,32.1645618379
AFMA42063,Africa,BWh_background,BWh oases,9.234213,-1.22724292866,32.1660245755
AFMA42127,Africa,BWh_background,BWh oases,1.673625,-2.42167273546,32.2667809899
AFMA42141,Africa,BWh_background,BWh oases,1.147375,-2.19825348136,32.286689603
AFMA42015,Africa,BWh_background,BWh oases,75.553285,-2.33913829574,32.2634257381
AFMA42065,Africa,mixed_BWh_BWk,BWh/BWk oases,8.869251,-1.96461263268,32.5172376605
AFMA30050,Africa,BWh_background,BWh oases,1.53803,-3.63955515499,33.2887015379
AFMA30030,Africa,BWh_background,BWh oases,8.453959,-3.59391256278,33.4038619859
AFMA30047,Africa,non_BWh_BWk_background,non-BW oases,1.704184,-3.54713772423,33.6252513018
AFMA30042,Africa,non_BWh_BWk_background,non-BW oases,1.960843,-3.53609279563,33.6488603863
AFMA30052,Africa,non_BWh_BWk_background,non-BW oases,1.378998,-3.47604448492,33.8234231498
AFMA30057,Africa,non_BWh_BWk_background,non-BW oases,1.192233,-1.93004542159,34.1026097609
AFMA30003,Africa,non_BWh_BWk_background,non-BW oases,256.238086,-2.47191128997,34.0306949454
AFMA30004,Africa,BWk_background,BWk oases,156.465341,-2.06287722232,34.0630140069
AFMA30010,Africa,non_BWh_BWk_background,non-BW oases,52.689119,-2.28783602817,34.2249582189
AFDZ43079,Africa,BWh_background,BWh oases,34.563906,3.58908449112,31.4488657996
AFDZ43184,Africa,BWh_background,BWh oases,6.294758,9.15860764862,31.6065128721
AFDZ42018,Africa,BWh_background,BWh oases,62.603244,-2.75258635078,31.5640586706
