baseline_id,OasisID,continent,exact_background_class,background_class,polygon_area_km2,pop_ssp2_2050,pop_ssp2_2080,pop_ssp5_2050,pop_ssp5_2080,futurepop_analysis_method,futurepop_analysis_valid
analysis_release_3437,ASCN12088,Asia,BWk_background,BWk oases,10.762371,30.14727499235094,20.94916463775654,30.43981327236678,21.64539167190064,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12066,Asia,BWk_background,BWk oases,21.200798,323.5333263160863,126.4079027344324,333.2310353978497,136.4591585706535,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12079,Asia,BWk_background,BWk oases,14.601358,89.91987273060914,47.84158146937325,91.95348095744004,50.14729100433545,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12195,Asia,BWk_background,BWk oases,2.025368,1.183627009391785,0.7500750422477722,1.197615027427673,0.783715009689331,nearest_valid_grid,True
analysis_release_3437,ASCN12057,Asia,BWk_background,BWk oases,28.318563,580.9503396625664,275.4564105289569,593.6763658513387,293.5687666883761,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12157,Asia,BWk_background,BWk oases,3.593125,2.553302049636841,0.0,2.889995098114014,0.0,nearest_valid_grid,True
analysis_release_3437,ASCN13001,Asia,BWk_background,BWk oases,962.404425,7.781081914902037,6.324592947959992,7.818986892700509,6.453167080879315,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12027,Asia,BWk_background,BWk oases,120.309604,22.09648889201014,18.70640004159497,22.17066758903823,19.02825408296344,polygon_fractional_aggregation,True
analysis_release_3437,ASCN15013,Asia,BWk_background,BWk oases,148.236391,0.0279132573687204,0.0236023112492675,0.0280081130499603,0.0240107610018438,polygon_fractional_aggregation,True
analysis_release_3437,ASCN15002,Asia,BWk_background,BWk oases,1487.903348,12974.22178738052,8253.995517256779,13162.15461629969,8576.333974912606,polygon_fractional_aggregation,True
analysis_release_3437,ASCN15015,Asia,BWk_background,BWk oases,84.449014,0.1255259960889816,0.0,0.170304998755455,0.0,nearest_valid_grid,True
analysis_release_3437,ASCN15009,Asia,BWk_background,BWk oases,196.158897,2.669772088116389,1.311783761750078,2.721731957578584,1.405270067491244,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12121,Asia,BWk_background,BWk oases,6.157369,237.9096043003592,118.4850386760692,243.4009025652768,125.3250456958809,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12099,Asia,BWk_background,BWk oases,8.830151,27.86802637577057,9.02243995666504,29.23606157302856,9.881264686584473,polygon_fractional_aggregation,True
analysis_release_3437,ASCN12214,Asia,BWk_background,BWk oases,1.527092,3.332483053207397,0.8460839986801147,3.451852083206177,1.009340047836304,nearest_valid_grid,True
analysis_release_3437,ASCN12218,Asia,BWk_background,BWk oases,1.39894,1.483366966247559,1.263139963150024,1.488057971000671,1.284271955490112,nearest_valid_grid,True
