exact_background_class,feature_count,polygon_area_km2,population_2020,population_2020_million,population_density_per_km2,built_up_2020_km2,built_up_fraction_pct,background_class
BWh_background,1822,1265408.631813,502007255.496655,502.007255496655,396.715529573565,19438.537482,1.53614705900573,BWh oases
BWk_background,742,543145.009263,86106640.169903,86.106640169903,158.533427908584,7487.641018,1.37857126371465,BWk oases
mixed_BWh_BWk,131,320847.985742,105352113.732477,105.352113732477,328.355228688244,7849.685027,2.44654334009505,BWh/BWk oases
non_BWh_BWk_background,742,143279.051668,30812253.932989,30.812253932989,215.050655167552,2162.404507,1.50922586506968,non-BW oases
