OasisID,continent,exact_background_class,background_class,polygon_area_km2,ghsl_population_2020_persons,ghsl_population_density_persons_per_km2,ghsl_built_up_area_2020_km2,ghsl_built_up_area_fraction
ASCN11005,Asia,non_BWh_BWk_background,non-BW oases,6581.763075,481052.878304,73.08875643537199,56.170262,0.0085342272822544
ASCN11020,Asia,BWk_background,BWk oases,193.621803,3666.218495,18.93494657210686,0.162239,0.0008379169984281
ASCN01009,Asia,non_BWh_BWk_background,non-BW oases,44.991487,71.157759,1.581582733640255,0.003971,8.826114149105585e-05
ASCN01011,Asia,non_BWh_BWk_background,non-BW oases,22.175986,1.17489,0.0529802823648968,9.7e-05,4.374100885525451e-06
ASCN01032,Asia,non_BWh_BWk_background,non-BW oases,1.726357,3.012316,1.744897492233646,0.000397,0.0002299640225051
ASCN01022,Asia,non_BWh_BWk_background,non-BW oases,4.296479,18.460744,4.296714588852872,0.005767,0.0013422618846734
ASCN01030,Asia,non_BWh_BWk_background,non-BW oases,2.227954,0.0,0.0,0.0,0.0
ASCN01012,Asia,non_BWh_BWk_background,non-BW oases,21.069036,0.583293,0.0276848451917781,3.4e-05,1.613742555663202e-06
ASCN01003,Asia,BWk_background,BWk oases,449.59262,53662.85682,119.3588471714683,2.4228,0.0053888784918222
ASCN01016,Asia,non_BWh_BWk_background,non-BW oases,11.375726,3354.607947,294.8917675232332,0.082105,0.007217561323119
ASCN01026,Asia,non_BWh_BWk_background,non-BW oases,3.41085,20.409729,5.983766216632217,0.00269,0.000788659718252
ASCN01023,Asia,non_BWh_BWk_background,non-BW oases,4.294788,1318.872562,307.0867670301771,0.148433,0.0345611937073494
ASCN01029,Asia,non_BWh_BWk_background,non-BW oases,2.893189,3.68273,1.272896447484074,0.000485,0.0001676350905523
ASCN01018,Asia,non_BWh_BWk_background,non-BW oases,6.88809,0.0,0.0,0.0,0.0
ASCN01015,Asia,non_BWh_BWk_background,non-BW oases,15.118122,113.958365,7.537865152827845,0.014694,0.0009719461187044
ASCN01008,Asia,non_BWh_BWk_background,non-BW oases,62.832175,21213.788778,337.6262046952855,2.183532,0.0347518130639278
ASCN01017,Asia,non_BWh_BWk_background,non-BW oases,9.11353,20.630563,2.263729092898141,0.006442,0.0007068611174813
ASCN01014,Asia,non_BWh_BWk_background,non-BW oases,16.231176,0.0,0.0,0.0,0.0
ASCN01024,Asia,non_BWh_BWk_background,non-BW oases,4.279795,0.0,0.0,0.0,0.0
ASMN14020,Asia,non_BWh_BWk_background,non-BW oases,18.636072,0.0,0.0,0.0,0.0
ASMN14021,Asia,BWk_background,BWk oases,14.923102,0.0,0.0,0.0,0.0
ASCN01007,Asia,non_BWh_BWk_background,non-BW oases,63.465343,759.155014,11.96172553577785,0.040031,0.0006307537012759
ASCN01028,Asia,non_BWh_BWk_background,non-BW oases,2.921813,0.0,0.0,0.0,0.0
ASCN01025,Asia,non_BWh_BWk_background,non-BW oases,3.584734,0.0,0.0,0.0,0.0
ASCN01020,Asia,non_BWh_BWk_background,non-BW oases,6.658064,4.07181,0.6115606578729192,8.3e-05,1.24660862376811e-05
